Sched,5,10,40,80,160,Tube,PP-Lined,PTFE-Lined
0.5,0.710 ,0.674 ,0.622 ,0.546 ,0.466 ,0.370 ,N/A,N/A
0.75,0.920 ,0.884 ,0.824 ,0.742 ,0.614 ,0.620 ,N/A,N/A
1,1.185 ,1.097 ,1.049 ,0.957 ,0.815 ,0.870 ,0.749 ,0.789 
1.5,1.770 ,1.682 ,1.610 ,1.500 ,1.338 ,1.370 ,1.290 ,1.350 
2,2.245 ,2.157 ,2.067 ,1.939 ,1.689 ,1.870 ,1.723 ,1.807 
2.5,2.709 ,2.635 ,2.469 ,2.323 ,2.125 ,2.370 ,2.119 ,N/A
3,3.334 ,3.260 ,3.068 ,2.900 ,2.626 ,2.870 ,2.718 ,2.808 
4,4.334 ,4.260 ,4.026 ,3.826 ,3.438 ,3.834 ,3.612 ,3.706 
6,6.407 ,6.357 ,6.065 ,5.761 ,5.189 ,5.782 ,5.629 ,5.615 
8,8.407 ,8.329 ,7.981 ,7.625 ,6.813 ,N/A,7.545 ,7.381 
10,10.482 ,10.420 ,10.020 ,9.564 ,8.500 ,N/A,9.556 ,9.735 
12,12.438 ,12.390 ,11.938 ,11.376 ,10.126 ,N/A,11.410 ,11.689 
14,13.688 ,13.500 ,13.126 ,12.500 ,11.188 ,N/A,N/A,N/A
16,15.670 ,15.500 ,15.000 ,14.314 ,12.814 ,N/A,N/A,N/A
18,17.670 ,17.500 ,16.876 ,16.126 ,14.438 ,N/A,N/A,N/A
20,19.634 ,19.500 ,18.814 ,17.938 ,16.064 ,N/A,N/A,N/A
22,21.624 ,21.500 ,N/A,19.750 ,17.750 ,N/A,N/A,N/A
24,N/A,23.500 ,22.626 ,21.564 ,19.314 ,N/A,N/A,N/A
